song_id,song_name,artist_name,album_name,date_added,track_path,play_count,duration,cloud_status,is_favorited,hash
10224,Highway 61 Revisited,Bob Dylan,Highway 61 Revisited,2024-01-18,/Users/alex/Music/Musica/Music/Bob Dylan/Highway 61 Revisited/07 Highway 61 Revisited.mp3,4,210,unknown,1,7fbca95c34eb118dc74573fdc8b89904b9f6eb66a6252c5c4704a569dff551c3
10222,Just Like Tom Thumb's Blues,Bob Dylan,Highway 61 Revisited,2024-01-18,/Users/alex/Music/Musica/Music/Bob Dylan/Highway 61 Revisited/08 Just Like Tom Thumb's Blues.mp3,1,332,unknown,0,d20923ba8293683cfafe2d3af6083da5493a89c32d2be0f6ee62aa04818c5170
10220,Desolation Row,Bob Dylan,Highway 61 Revisited,2024-01-18,/Users/alex/Music/Musica/Music/Bob Dylan/Highway 61 Revisited/09 Desolation Row.mp3,0,681,unknown,0,9585cbf62b74f7c18cf093950ff0b9624be41e1c0baf068d336456617210c390
8396,The Lonesome Death of Hattie Carroll,Bob Dylan,The Times They Are a-Changin',2021-09-26,/Users/alex/Music/Musica/Music/Bob Dylan/The Times They Are a-Changin'/The Lonesome Death of Hattie Carroll.mp3,15,347,unknown,0,9c191cb8b8f8690301170f0f65fe10d49111ee93b2359028f90a050211b38e47
5490,Don't Worry Be Happy,Bob Marley,Simple Pleasures,2020-11-20,/Users/alex/Music/Musica/Music/Bob Marley/Simple Pleasures/Don't Worry Be Happy.mp3,12,289,unknown,0,2ce52e9df847993505b51e156579b7da134de6a701d3bc0b080ccfe0c6bf3b8e
9838,Beyond the Sea,Bobby Darin,That's All,2023-08-12,/Users/alex/Music/Musica/Music/Bobby Darin/That's All/02 Beyond the Sea.mp3,7,65,unknown,0,228a39195996d0b2e815fe8ed46d1a8f4d4ef691cacfcbf6b4bb762ef192ed01
8382,Devil Or Angel,Bobby Vee,,2021-09-26,/Users/alex/Music/Musica/Music/Bobby Vee/Unknown Album/Devil Or Angel.mp3,13,140,unknown,0,79b230794aef4ac6a32a339000d091e4e9cdadc8ba6b1ff8c3ed660eb20075ce
5458,Middle Finger,Bohnes,,2020-11-20,/Users/alex/Music/Musica/Music/Bohnes/Unknown Album/Middle Finger.mp3,31,237,unknown,0,a2df950e5a6ec8132e71e48dfdc1d47b0c7e6db269fc84983bd1b6ba67d00e89
6348,Letting go,BØJET,,2020-11-20,/Users/alex/Music/Musica/Music/BØJET/Unknown Album/Letting go.mp3,33,222,unknown,0,a873f66b9889983dff0dd75b68a26f3f7cef1057ac5daecbc38cb5dcfd58fe1c
10080,You Give Love A Bad Name,Bon Jovi,Slippery When Wet,2023-12-05,/Users/alex/Music/Musica/Music/Bon Jovi/Slippery When Wet/02 You Give Love A Bad Name.mp3,22,250,unknown,0,2a332040c97c83d91a9edd2ea6368490195553ebb807f052f8ea0e3f3a9509a5
8706,Dirty Little Animals,Bones UK,League of Legends Arcane Soundtrack,2021-11-22,/Users/alex/Music/Musica/Music/Compilations/League of Legends Arcane Soundtrack/04 Dirty Little Animals.mp3,103,205,unknown,1,420a7a9840075db608aacd6c73138d6a0b8e5f1b2160f92d3188a94d09b515a1
9340,Ma Baker,Boney M.,Love for Sale,2022-11-08,/Users/alex/Music/Musica/Music/Boney M_/Love for Sale/Ma Baker.mp3,23,276,unknown,0,a54cc07de317f9e1cdf6c0d955a525397e7335b6346eec07a1b7221ec69fc1c7
5842,Viktor Bonus Track,Bonnie Brae,Robin Hood Soundtrack,2020-11-20,/Users/alex/Music/Musica/Music/Bonnie Brae/Robin Hood Soundtrack/Viktor Bonus Track.mp3,82,151,unknown,0,a5b38ff387db85b10ffc9a22fc3211b76b5720c13f39b306e57845be5b71be24
8100,Thrilling Chase,Bonnie Grace,End of the Rainbow,2021-06-10,/Users/alex/Music/Musica/Music/Bonnie Grace/End of the Rainbow/Thrilling Chase.mp3,9,125,unknown,0,4c21dd4cbe0a437c9c35b4d14bd3eeaf9192673b936ea6762e93b92728df8143
8116,Frantic,Bonnie Grace,,2021-06-10,/Users/alex/Music/Musica/Music/Bonnie Grace/Unknown Album/Frantic.mp3,8,121,unknown,0,66f37e7b96291cdcfcbaabf7c53c2e5037419b0b73cec8e42c5182992663cbee
